team_name,match_id,player.name,starting_position,most_time_position
Argentina,7531,Cristian David Pavón,Left Attacking Midfield,Left Attacking Midfield
Argentina,7531,Eduardo Antonio Salvio,Right Back,Right Back
Argentina,7531,Faustino Marcos Alberto Rojo,Left Center Back,Left Center Back
Argentina,7531,Gonzalo Gerardo Higuaín,Right Center Midfield,Right Center Forward
Argentina,7531,Javier Alejandro Mascherano,Left Center Midfield,Left Center Midfield
Argentina,7531,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,Center Attacking Midfield
Argentina,7531,Lucas Rodrigo Biglia,Right Center Midfield,Right Center Midfield
Argentina,7531,Maximiliano Eduardo Meza,Right Midfield,Right Midfield
Argentina,7531,Nicolás Alejandro Tagliafico,Left Back,Left Back
Argentina,7531,Nicolás Hernán Otamendi,Right Center Back,Right Center Back
Argentina,7531,Sergio Leonel Agüero del Castillo,Center Forward,Center Forward
Argentina,7531,Wilfredo Daniel Caballero,Goalkeeper,Goalkeeper
Argentina,7531,Ángel Fabián Di María Hernández,Left Midfield,Left Midfield
Argentina,7531,Éver Maximiliano David Banega,Right Center Midfield,Left Center Midfield
Argentina,7545,Cristian David Pavón,Right Midfield,Left Midfield
Argentina,7545,Eduardo Antonio Salvio,Right Midfield,Right Midfield
Argentina,7545,Enzo Nicolás Pérez,Right Center Midfield,Right Center Midfield
Argentina,7545,Gabriel Iván Mercado,Right Center Back,Right Center Back
Argentina,7545,Gonzalo Gerardo Higuaín,Center Forward,Center Forward
Argentina,7545,Javier Alejandro Mascherano,Left Center Midfield,Center Defensive Midfield
Argentina,7545,Lionel Andrés Messi Cuccittini,Right Attacking Midfield,Right Attacking Midfield
Argentina,7545,Marcos Javier Acuña,Left Midfield,Left Midfield
Argentina,7545,Maximiliano Eduardo Meza,Left Attacking Midfield,Left Attacking Midfield
Argentina,7545,Nicolás Alejandro Tagliafico,Left Center Back,Left Center Back
Argentina,7545,Nicolás Hernán Otamendi,Center Back,Center Back
Argentina,7545,Paulo Bruno Exequiel Dybala,Right Defensive Midfield,Right Midfield
Argentina,7545,Sergio Leonel Agüero del Castillo,Center Forward,Center Forward
Argentina,7545,Wilfredo Daniel Caballero,Goalkeeper,Goalkeeper
Argentina,7564,Cristian David Pavón,Right Wing,Right Wing
Argentina,7564,Enzo Nicolás Pérez,Right Wing,Right Wing
Argentina,7564,Faustino Marcos Alberto Rojo,Left Center Back,Left Center Back
Argentina,7564,Franco Armani,Goalkeeper,Goalkeeper
Argentina,7564,Gabriel Iván Mercado,Right Back,Right Back
Argentina,7564,Gonzalo Gerardo Higuaín,Left Center Forward,Left Center Forward
Argentina,7564,Javier Alejandro Mascherano,Right Center Midfield,Right Center Midfield
Argentina,7564,Lionel Andrés Messi Cuccittini,Right Center Forward,Right Center Forward
Argentina,7564,Maximiliano Eduardo Meza,Left Wing,Left Wing
Argentina,7564,Nicolás Alejandro Tagliafico,Left Back,Left Back
Argentina,7564,Nicolás Hernán Otamendi,Right Center Back,Right Center Back
Argentina,7564,Sergio Leonel Agüero del Castillo,Left Back,Left Center Forward
Argentina,7564,Ángel Fabián Di María Hernández,Left Wing,Left Wing
Argentina,7564,Éver Maximiliano David Banega,Left Center Midfield,Left Center Midfield
Argentina,7580,Cristian David Pavón,Left Wing,Left Wing
Argentina,7580,Enzo Nicolás Pérez,Right Center Midfield,Right Center Midfield
Argentina,7580,Faustino Marcos Alberto Rojo,Left Center Back,Left Center Back
Argentina,7580,Federico Julián Fazio,Left Center Back,Right Center Back
Argentina,7580,Franco Armani,Goalkeeper,Goalkeeper
Argentina,7580,Gabriel Iván Mercado,Right Back,Right Back
Argentina,7580,Javier Alejandro Mascherano,Center Defensive Midfield,Center Defensive Midfield
Argentina,7580,Lionel Andrés Messi Cuccittini,Center Forward,Center Forward
Argentina,7580,Maximiliano Eduardo Meza,Right Wing,Right Wing
Argentina,7580,Nicolás Alejandro Tagliafico,Left Back,Left Back
Argentina,7580,Nicolás Hernán Otamendi,Right Center Back,Right Center Back
Argentina,7580,Sergio Leonel Agüero del Castillo,Right Center Midfield,Center Forward
Argentina,7580,Ángel Fabián Di María Hernández,Right Wing,Right Wing
Argentina,7580,Éver Maximiliano David Banega,Left Center Midfield,Left Center Midfield
Australia,7530,Aaron Mooy,Left Center Midfield,Left Center Midfield
Australia,7530,Andrew Nabbout,Center Forward,Center Forward
Australia,7530,Aziz Eraltay Behich,Left Back,Left Back
Australia,7530,Daniel Arzani,Left Midfield,Left Midfield
Australia,7530,Jackson Irvine,Center Attacking Midfield,Center Attacking Midfield
Australia,7530,Josh Risdon,Right Back,Right Back
Australia,7530,Mark Milligan,Left Center Back,Left Center Back
Australia,7530,Mathew Leckie,Right Midfield,Right Midfield
Australia,7530,Mathew Ryan,Goalkeeper,Goalkeeper
Australia,7530,Mile Jedinak,Right Center Midfield,Right Center Midfield
Australia,7530,Robbie Kruse,Left Midfield,Left Midfield
Australia,7530,Tom Rogić,Center Attacking Midfield,Center Attacking Midfield
Australia,7530,Tomi Jurić,Center Forward,Center Forward
Australia,7530,Trent Sainsbury,Right Center Back,Right Center Back
Australia,7547,Aaron Mooy,Right Center Midfield,Right Center Midfield
Australia,7547,Andrew Nabbout,Center Forward,Center Forward
Australia,7547,Aziz Eraltay Behich,Left Back,Left Back
Australia,7547,Daniel Arzani,Left Wing,Left Wing
Australia,7547,Jackson Irvine,Secondary Striker,Secondary Striker
Australia,7547,Josh Risdon,Right Back,Right Back
Australia,7547,Mark Milligan,Left Center Back,Left Center Back
